"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"netrntlinc","","","","","","","netrntlinc","netrntlinc","netrntlinc","netrntlinc","netrntlinc","netrntlinc"
"networthend","networthend","networthend","networthend","networthend","networthend","networthend","","","","","",""
"nocontractor100kcnt","","","","","","","nocontractor100kcnt","nocontractor100kcnt","nocontractor100kcnt","nocontractor100kcnt","nocontractor100kcnt","nocontractor100kcnt"
"noemplyeesw3cnt","","","","","","","noemplyeesw3cnt","noemplyeesw3cnt","noemplyeesw3cnt","noemplyeesw3cnt","noemplyeesw3cnt","noemplyeesw3cnt"
"noindiv100kcnt","","","","","","","noindiv100kcnt","noindiv100kcnt","noindiv100kcnt","noindiv100kcnt","noindiv100kcnt","noindiv100kcnt"
"nonintcashend","","","","","","","nonintcashend","nonintcashend","nonintcashend","nonintcashend","nonintcashend","nonintcashend"
"nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea","nonpfrea"
"notesloansrcvblend","","","","","","","notesloansrcvblend","notesloansrcvblend","notesloansrcvblend","notesloansrcvblend","notesloansrcvblend","notesloansrcvblend"
"notfydnrvalcd","","","","","","","notfydnrvalcd","notfydnrvalcd","notfydnrvalcd","notfydnrvalcd","notfydnrvalcd","notfydnrvalcd"
"occupancy","","","","","","","occupancy","occupancy","occupancy","occupancy","occupancy","occupancy"
"officexpns","","","","","","","officexpns","officexpns","officexpns","officexpns","officexpns","officexpns"
"operatehosptlcd","","","","","","","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd"
"operateschools170cd","","","","","","","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd"
"orgtrnsfrcd","","","","","","","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd"
"othrassetsend","","","","","","","othrassetsend","othrassetsend","othrassetsend","othrassetsend","othrassetsend","othrassetsend"
"othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","","","","","",""
"othremplyeebenef","","","","","","","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef"
"othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","","","","","",""
"othrexpnsa","","","","","","","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa"
"othrexpnsb","","","","","","","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb"
"othrexpnsc","","","","","","","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc"
"othrexpnsd","","","","","","","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd"
"othrexpnse","","","","","","","othrexpnse","othrexpnse","othrexpnse","othrexpnse","othrexpnse","othrexpnse"
"othrexpnsf","","","","","","","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf"
"othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170"
"othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509"
"othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","","","","","",""
"othrliabend","","","","","","","othrliabend","othrliabend","othrliabend","othrliabend","othrliabend","othrliabend"
"othrsalwages","","","","","","","othrsalwages","othrsalwages","othrsalwages","othrsalwages","othrsalwages","othrsalwages"
"ownsepentcd","","","","","","","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd"
"paidinsurplusend","","","","","","","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend"
"paybletoffcrsend","","","","","","","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend"
"payrolltx","","","","","","","payrolltx","payrolltx","payrolltx","payrolltx","payrolltx","payrolltx"
"pensionplancontrb","","","","","","","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb"
"permrstrctnetasstsend","","","","","","","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend"
"pldgegrntrcvblend","","","","","","","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend"
"politicalactvtscd","","","","","","","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd"
"politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","","","","","",""
"premiumspaidcd","","","","","","","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd"
"prepaidexpnsend","","","","","","","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend"
"prgmservcode2acd","","","","","","","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd"
"prgmservcode2bcd","","","","","","","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd"
"prgmservcode2ccd","","","","","","","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd"
"prgmservcode2dcd","","","","","","","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd"
"prgmservcode2ecd","","","","","","","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd"
"prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","","","","","",""
"profndraising","","","","","","","profndraising","profndraising","profndraising","profndraising","profndraising","profndraising"
"prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd"
"providegoodscd","","","","","","","providegoodscd","providegoodscd","providegoodscd","providegoodscd","providegoodscd","providegoodscd"
