"","ein","tax_pd","lb_to_assets"
"625",161092291,201808,0.878195863314486
"626",161094813,201809,0.179172363380396
"627",161109094,201906,0.855493221047922
"628",161116852,201906,0.488594504214467
"629",161119263,201812,0.449058789363139
"630",161125586,201811,0.396669676609682
"631",161130177,201806,0.835656247570173
"632",161132971,201808,0.0578607709364498
"633",161137874,201906,0.049190384388328
"634",161139614,201812,0.597404827783608
"635",161159574,201906,0.494014053111279
"636",161159720,201812,0.81208245329369
"637",161160170,201809,0.0706380717166349
"638",161160170,201909,0.0523282985727712
"639",161163460,201812,0.0172792383342393
"640",161164184,201806,0.286715459188801
"641",161165911,201812,0.582333232425332
"642",161166659,201808,0.489069934072271
"643",161167946,201812,0.00813165758721886
"644",161169252,201808,0.0202532556299014
"645",161170113,201806,0.139476873964453
"646",161170113,201906,0.157283521469474
"647",161183242,201809,0.285768193625877
"648",161190886,201806,0.779788155869686
"649",161199332,201906,0.909709674097237
"650",161199332,201806,0.96794584443906
"651",161265765,201809,0.0465910496733107
"652",161271229,201812,0.00230735851260911
"653",161277244,201812,0.803276660829882
"654",161289461,201809,0.600178572455972
"655",161301678,201903,0.615194984142624
"656",161321037,201803,0
"657",161328750,201809,0.274990607750773
"658",161329890,201906,1
"659",161330593,201812,0.825120789247806
"660",161337423,201806,0.325211462498919
"661",161337423,201906,0.314527874991556
"662",161370403,201906,0
"663",161375112,201906,0.00481776192086264
"664",161375112,201806,0.00252617211805625
"665",161375637,201812,0.312911455774314
"666",161387187,201906,0.828463300061715
"667",161399793,201812,0.000350807337375711
"668",161408996,201812,0.198665023009784
"669",161429861,201812,0.883186239792737
"670",161450203,201812,0.560303127654974
"671",161452557,201903,0.944715585076536
"672",161453947,201812,0.446854028222099
"673",161481094,201805,0.896362013371468
"674",161481094,201905,0
"675",161481094,201705,0.933772996831584
"676",161509425,201812,0
"677",161559032,201806,0.265539461837439
"678",161561999,201812,0.527412532520952
"679",161568466,201812,0
"680",161572206,201812,0.00239530694951719
"681",161585356,201812,0.767419772137319
"682",161605654,201812,0.847684989890468
"683",161607165,201903,0
"684",161617489,201812,0.968917032349716
"685",161637410,201812,0
"686",161660243,201903,0.915594870693231
"687",161671788,201906,0.886791510277087
"688",161744136,201809,0.325952649379932
"689",161765276,201812,0
"690",166063879,201902,0.284932784676112
"691",166063879,201802,0.315160250215361
"692",166066346,201903,0.50839438902698
"693",166066837,201812,0.188347261300523
"694",166095039,201901,0.53840849835584
"695",166101149,201906,0
"696",200001916,201812,0.105995836381684
"697",200062075,201806,0.567082031452234
"698",200070040,201812,0.932124926487536
"699",200125143,201812,0.120685170324045
"700",200146547,201806,0.0814955676245928
"701",200164382,201812,0.925177855755693
"702",200177581,201806,0
"703",200203845,201812,0.96784703368845
"704",200246423,201812,0.777005341175058
"705",200310400,201806,0.451883885741754
"706",200318338,201812,0
"707",200330858,201812,0.245247495213024
"708",200428240,201812,0.953258597121338
"709",200436490,201809,0.015347580237746
"710",200446324,201812,0.358353668107194
"711",200458814,201812,0.049349979639292
"712",200468802,201812,0
"713",200470082,201812,0
"714",200503404,201812,0.897043725675865
"715",200530683,201812,0.518537805370362
"716",200553370,201812,0.00454650097767309
"717",200573561,201812,0.969652321751891
"718",200688727,201812,0.714679655185811
"719",200696964,201806,0.029636786883279
"720",200701353,201806,0.870459730179749
"721",200726638,201806,0
"722",200951085,201809,0
"723",200956663,201812,0.908129501677051
"724",201044089,201806,0.864070636338417
"725",201110283,201806,1
"726",201150352,201712,0.997462943215774
"727",201150352,201812,0.988623460379915
"728",201249814,201812,0.499090046575815
"729",201309418,201809,0.00134044062074453
"730",201309418,201609,0.00268032055886171
"731",201324945,201712,0.0732250816296935
"732",201413891,201812,0.379827992204839
"733",201484525,201903,0.962842261785985
"734",201545635,201812,0
"735",201583332,201812,0
"736",201592192,201812,0.37378442514279
"737",201594213,201806,0.518440531892593
"738",201683627,201806,NA
"739",201688621,201806,0.539528768716127
"740",201700622,201812,0.0479605301243072
"741",201788094,201812,0.901312094842312
"742",201793571,201812,0.624789973489987
"743",201794339,201812,0.028603985953815
"744",201848987,201812,0.0305713150001807
"745",201880465,201906,0
"746",201891448,201812,0.150785326921109
"747",201935580,201806,0.0139722889851576
"748",201952464,201906,0.914323454776282
"749",201989307,201906,0.865533801673634
"750",202007127,201812,0.902979556686848
"751",202010603,201812,0.921979677912127
"752",202053859,201812,0.915933599781769
"753",202074645,201809,0.952412710710335
"754",202188815,201903,0
"755",202207776,201812,0.932589524501142
"756",202231228,201806,0.0142180822016726
"757",202232456,201812,0.907485384746698
"758",202328346,201806,NA
"759",202445113,201412,0.609596971869133
"760",202445113,201812,0.76800449322239
"761",202504202,201812,0.925436724194326
"762",202526058,201806,0.661341279724196
"763",202711297,201812,0.896207022980213
"764",202773085,201812,0.283769066960433
"765",202810099,201811,0.0491173573923
"766",202869184,201809,0.959324675259493
"767",203022563,201812,0.0227205697619802
"768",203035695,201812,0.842918308651262
"769",203048639,201809,0.925560680610402
"770",203079151,201806,0.822457032781161
"771",203167493,201812,0.974665775848415
"772",203178404,201806,0
"773",203195763,201806,0.0496671313086962
"774",203395474,201812,0.10968172948375
"775",203407734,201806,0.108469539375929
"776",203415545,201806,0
"777",203494053,201806,0
"778",203494053,201706,0
"779",203496884,201812,0.171169695977294
"780",203521473,201806,0.628543527739282
"781",203558447,201812,0.0344275136191604
"782",203771819,201812,0.106892425194005
"783",203773809,201906,0.533469285471247
"784",203852230,201812,0.134863643123282
"785",203853610,201812,0
"786",203866727,201806,NA
"787",203916750,201812,0.913276488157944
"788",204122028,201806,0.829951940158406
"789",204130979,201812,0.153041053337569
"790",204181020,201806,0.454614401120429
"791",204203798,201812,0.0149215483536737
"792",204216595,201812,0.258389424371055
"793",204361698,201812,0.00080147043452112
"794",204398263,201806,0.643150011699486
"795",204398692,201809,0.961122584759942
"796",204526894,201812,0.0743882370990784
"797",204594987,201812,0.998778391228649
"798",204627275,201812,0.355281180690903
"799",204741922,201812,0.884833238396947
"800",204929600,201806,0.370906294126922
"801",205276894,201812,0.193213753891972
"802",205289427,201812,0.975710512708191
"803",205311377,201812,0.772627089623248
"804",205325361,201906,0.763336911275271
