"","ein","tax_pd","months_coh"
"621",161072548,201812,104.028525596317
"622",161079046,201812,261.070432970595
"623",161080227,201812,19.229684589148
"624",161086304,201812,262.480533146264
"625",161092291,201808,40.1837539323836
"626",161094813,201809,37.7839858759996
"627",161109094,201906,154.862202765894
"628",161116852,201906,147.586022531984
"629",161119263,201812,104.049378377191
"630",161125586,201811,NA
"631",161130177,201806,92.1147747294236
"632",161132971,201808,177.090780916797
"633",161137874,201906,558.691467962482
"634",161139614,201812,82.4109924733065
"635",161159574,201906,257.704406779661
"636",161159720,201812,102.416560882726
"637",161160170,201809,NA
"638",161160170,201909,NA
"639",161163460,201812,826.407809847199
"640",161164184,201806,342.291385135135
"641",161165911,201812,115.308659719727
"642",161166659,201808,247.461527948613
"643",161167946,201812,277.783860933211
"644",161169252,201808,88.9078167845899
"645",161170113,201806,106.167772578054
"646",161170113,201906,111.335934366454
"647",161183242,201809,224.116257705145
"648",161190886,201806,33.98037585232
"649",161199332,201906,5.85323224261772
"650",161199332,201806,2.9682120682604
"651",161265765,201809,183.290645491695
"652",161271229,201812,301.36068288954
"653",161277244,201812,1106.70323212537
"654",161289461,201809,46.9539114173069
"655",161301678,201903,173.186455520689
"656",161321037,201803,17.5178224832779
"657",161328750,201809,71.2404002218889
"658",161329890,201906,NA
"659",161330593,201812,30.220310949388
"660",161337423,201806,13.9605869382687
"661",161337423,201906,13.7366499632154
"662",161370403,201906,1458.86381322957
"663",161375112,201906,176.992
"664",161375112,201806,NA
"665",161375637,201812,8.79046905058278
"666",161387187,201906,28.3747585575181
"667",161399793,201812,1239.95121342047
"668",161408996,201812,2256.02236302646
"669",161429861,201812,95.8534074959713
"670",161450203,201812,10.7803963925821
"671",161452557,201903,70.0465717981889
"672",161453947,201812,23.7080460763761
"673",161481094,201805,16.8429223744292
"674",161481094,201905,221.080192689147
"675",161481094,201705,4.29418787907732
"676",161509425,201812,0
"677",161559032,201806,232.002510197678
"678",161561999,201812,178.88353851182
"679",161568466,201812,NA
"680",161572206,201812,89.940383669454
"681",161585356,201812,16.0391327545649
"682",161605654,201812,234.159148112294
"683",161607165,201903,508.071931030835
"684",161617489,201812,0.35688992691931
"685",161637410,201812,NA
"686",161660243,201903,9.52095808383234
"687",161671788,201906,96.5884663083919
"688",161744136,201809,NA
"689",161765276,201812,53.8189793074978
"690",166063879,201902,31.1036090619328
"691",166063879,201802,32.6465059748393
"692",166066346,201903,24.8178698814387
"693",166066837,201812,68.1512157304955
"694",166095039,201901,13.5561659597575
"695",166101149,201906,162.056874118617
"696",200001916,201812,112.370557764125
"697",200062075,201806,47.4375623960067
"698",200070040,201812,115.085160922814
"699",200125143,201812,76.7227026590156
"700",200146547,201806,21.3173793197713
"701",200164382,201812,195.941348973607
"702",200177581,201806,1.26604658313475
"703",200203845,201812,9.79183486238532
"704",200246423,201812,18.5232303090728
"705",200310400,201806,72.267224456959
"706",200318338,201812,28.6039941548953
"707",200330858,201812,125.650621539575
"708",200428240,201812,7.35708761074392
"709",200436490,201809,120.033074251695
"710",200446324,201812,45.6450468876999
"711",200458814,201812,181.200592772732
"712",200468802,201812,NA
"713",200470082,201812,3738.81061806656
"714",200503404,201812,2.96825841642928
"715",200530683,201812,50.3164274390967
"716",200553370,201812,2073.3346239253
"717",200573561,201812,1.21219695076231
"718",200688727,201812,23.3030433461814
"719",200696964,201806,139.525538115446
"720",200701353,201806,60.254022631941
"721",200726638,201806,NA
"722",200951085,201809,2008.22730902316
"723",200956663,201812,16.6469095816464
"724",201044089,201806,264.052336448598
"725",201110283,201806,NA
"726",201150352,201712,NA
"727",201150352,201812,NA
"728",201249814,201812,11.9658899911017
"729",201309418,201809,25.8028303630828
"730",201309418,201609,1490.37023376623
"731",201324945,201712,297.884676735109
"732",201413891,201812,269.195691114765
"733",201484525,201903,1.4600243337389
"734",201545635,201812,NA
"735",201583332,201812,3.51634624768225
"736",201592192,201812,442.608818635607
"737",201594213,201806,577.195102992616
"738",201683627,201806,NA
"739",201688621,201806,NA
"740",201700622,201812,19493.816700611
"741",201788094,201812,NA
"742",201793571,201812,58.034522587269
"743",201794339,201812,78.3819860683622
"744",201848987,201812,341.66814159292
"745",201880465,201906,NA
"746",201891448,201812,96.3613823965168
"747",201935580,201806,37.7214820018681
"748",201952464,201906,41.2592152199762
"749",201989307,201906,77.0829694323144
"750",202007127,201812,4.1812914985028
"751",202010603,201812,286.249879168681
"752",202053859,201812,248.682993197279
"753",202074645,201809,5.56297786720322
"754",202188815,201903,1253.2005899705
"755",202207776,201812,2.56634405245083
"756",202231228,201806,107.459600819086
"757",202232456,201812,57.4506420273116
"758",202328346,201806,NA
"759",202445113,201412,48.9215256924368
"760",202445113,201812,11.5595514527548
"761",202504202,201812,18.48769771529
"762",202526058,201806,27.7998302338143
"763",202711297,201812,NA
"764",202773085,201812,28.2408002928866
"765",202810099,201811,164.512711219364
"766",202869184,201809,18.7726220502367
"767",203022563,201812,122.552197802198
"768",203035695,201812,222.64555541703
"769",203048639,201809,58.7664990041522
"770",203079151,201806,13.958979930006
"771",203167493,201812,50.9556926528323
"772",203178404,201806,NA
"773",203195763,201806,293.930224617548
"774",203395474,201812,374.067884264678
"775",203407734,201806,665.076258992806
"776",203415545,201806,967.423874195854
"777",203494053,201806,NA
"778",203494053,201706,NA
"779",203496884,201812,8.50422364306716
"780",203521473,201806,59.7783697225387
"781",203558447,201812,24.8653799986905
"782",203771819,201812,81.7798116879701
"783",203773809,201906,20.7069220119982
"784",203852230,201812,7126.04347826087
"785",203853610,201812,22082.1291428571
"786",203866727,201806,NA
"787",203916750,201812,66.7358201833051
"788",204122028,201806,NA
"789",204130979,201812,102.118106047171
"790",204181020,201806,124.971731448763
"791",204203798,201812,75.0855332629356
"792",204216595,201812,92.3774642256718
"793",204361698,201812,14.7575129102737
"794",204398263,201806,587.578307132899
"795",204398692,201809,9.45586897179254
"796",204526894,201812,12.5104579250921
"797",204594987,201812,0.688768792867801
"798",204627275,201812,524.922320070601
"799",204741922,201812,38.4619655746807
"800",204929600,201806,924.307155036052
"801",205276894,201812,218.742260869565
"802",205289427,201812,0.501689867681851
"803",205311377,201812,150.566127028573
"804",205325361,201906,6115.66058683584
"805",205398661,201612,27.7188654042587
"806",205398661,201812,NA
"807",205398661,201712,30.7538174414659
"808",205536173,201812,140.574454056635
"809",205644098,201812,NA
"810",205644098,201712,NA
"811",205644098,201612,0.973286014442855
"812",205644200,201809,569.52230042797
"813",205785251,201806,352.63824355374
"814",205785251,201706,179.522314860226
"815",205785251,201906,NA
