"","ein","tax_pd","equity_ratio"
"380",112490986,201806,0.718338093865465
"381",112498292,201806,-15.455443100469
"382",112526244,201807,0.91271958899152
"383",112527097,201906,0.254453383134607
"384",112527202,201905,0.0273380413928236
"385",112528786,201812,0.93504408488563
"386",112534700,201803,0.804002145820778
"387",112538550,201808,0.397766454694204
"388",112573432,201806,0.853558341630599
"389",112578155,201807,0.20866265644182
"390",112594653,201806,0.839200456902451
"391",112600290,201812,0.545505647242129
"392",112600290,201712,0.61420463122982
"393",112603787,201812,0.288715515591951
"394",112627786,201812,0.10829023903683
"395",112647339,201812,0.971282865761792
"396",112665181,201806,0.293794811587102
"397",112683663,201806,0.265082930226468
"398",112689903,201812,0.995619787671063
"399",112710506,201812,0.973615808120458
"400",112737223,201812,0.710490531264093
"401",112783877,201812,0.198459435945854
"402",112840553,201806,0.944327838564278
"403",112848726,201809,0.943249716021192
"404",112848938,201806,0.969384360979377
"405",112857055,201806,0.721500393542492
"406",112889068,201812,0.380429558401147
"407",112890302,201812,0.855718880546389
"408",112911043,201812,0.521962478841843
"409",113039699,201805,0.915556838127606
"410",113048002,201812,0.608631589978938
"411",113099604,201812,0.804251084584275
"412",113132562,201812,0.362497977420362
"413",113199716,201812,0.342043502973335
"414",113204890,201812,0.967029671680765
"415",113211896,201812,1
"416",113211896,201712,0.651181102362205
"417",113250772,201812,0.921793211455424
"418",113306111,201806,0.835900511305496
"419",113312539,201812,0.409125164367575
"420",113317234,201812,0.310166614007512
"421",113317929,201806,0.716503059036453
"422",113415840,201812,-0.271018615013726
"423",113422018,201812,0.624366546011598
"424",113442366,201812,-0.422912478723916
"425",113458791,201806,0.948510801853611
"426",113462888,201906,-0.0163376427344025
"427",113580935,201812,0.950529277432216
"428",113603198,201812,0.939791717368378
"429",113613094,201812,0.726460253085709
"430",113633048,201812,0.988641287848961
"431",113666873,201812,-0.525046888528515
"432",113687996,201809,-5.0683643914968
"433",113704014,201906,-0.374016303607612
"434",113754129,201812,0.709129406212939
"435",116083182,201806,0.261460916199976
"436",123799161,201906,-0.119375232428412
"437",123799161,201706,-0.240406866526338
"438",131562242,201806,0.852585061474585
"439",131624178,201806,0.357267031553654
"440",131671035,201806,-0.719542543760303
"441",131919799,201806,0.476644568304349
"442",131943516,201806,-7.5846263176596
"443",132564241,201812,0.56384715913578
"444",132579051,201807,0.569215358822434
"445",132617705,201812,0.832523728657373
"446",132735378,201812,0.985886529655501
"447",132736022,201803,0.327930059009905
"448",132778910,201812,0.983200286610298
"449",132802083,201906,0.640028621006713
"450",132806160,201806,0.645401626991927
"451",132834016,201812,0.604133592596861
"452",132850133,201806,-0.439773912464113
"453",132851988,201812,0.308931911475337
"454",132868189,201809,0.63578296323651
"455",132875743,201812,-1.05135002202234
"456",132902798,201806,0.308779443718883
"457",132922191,201812,0.583781180132318
"458",132926433,201806,0.414133144537781
"459",132934000,201812,0.733822985572737
"460",132936066,201809,-0.706131932518436
"461",132938457,201806,0.804779098930455
"462",132944013,201804,0.919449278921198
"463",132950346,201812,0.0682383655733109
"464",132972415,201806,0.30976338919465
"465",132976987,201812,0.675869477779212
"466",133008492,201906,1
"467",133010578,201812,0.871431305083977
"468",133020589,201806,0.986927167147208
"469",133022372,201812,0.92844060172653
"470",133023179,201812,0.900425327606932
"471",133023183,201806,-0.867107388967655
"472",133026182,201812,0.999351426097078
"473",133028376,201812,0.336229165153544
"474",133032463,201812,0.813392243379964
"475",133076810,201812,0.144469669873027
"476",133097905,201806,0.553473002622144
"477",133098397,201812,0.143358685930476
"478",133108035,201812,0.975517871796147
"479",133110811,201812,-0.093628604891172
"480",133154100,201812,0.289432736700628
"481",133160099,201806,0.746374426303514
"482",133176586,201806,0.900681648519452
"483",133176952,201806,0.940923435485243
"484",133183344,201806,0.246198039731225
"485",133187792,201812,0.281600525659344
"486",133202014,201812,0.92595312961802
"487",133203701,201806,0.387216702887302
"488",133206603,201812,0.997587776782512
"489",133212867,201812,0.65966831480225
"490",133213525,201803,0.815193714894076
"491",133234441,201806,0.854218377404542
"492",133248777,201812,0.65061845668479
"493",133257307,201806,0.570108085822608
"494",133281487,201806,0.917335502233753
"495",133313856,201812,1
"496",133402057,201706,0.780894273240897
"497",133402057,201506,0.780892315425111
"498",133402057,201306,0.779782093938091
