"","ein","tax_pd","debt_mgmnt_ratio"
"664",161375112,201806,0.100145897903013
"665",161375637,201812,-344.03015722418
"666",161387187,201906,12.420899323949
"667",161399793,201812,0.302797676788386
"668",161408996,201812,NA
"669",161429861,201812,0.604907307934868
"670",161450203,201812,-1.68230020513242
"671",161452557,201903,2.39518815758544
"672",161453947,201812,-1.70417014484137
"673",161481094,201805,-10.6841110425041
"674",161481094,201905,0.226690482890246
"675",161481094,201705,-12.4480002363961
"676",161509425,201812,0.0244269971723274
"677",161559032,201806,0.18353945644188
"678",161561999,201812,0.40961233386824
"679",161568466,201812,0
"680",161572206,201812,0.121608872084989
"681",161585356,201812,1.51341288748591
"682",161605654,201812,-4.11328786602541
"683",161607165,201903,50.1927379726921
"684",161617489,201812,0.0257356090859765
"685",161637410,201812,0
"686",161660243,201903,0.276052756212181
"687",161671788,201906,0.126391720459843
"688",161744136,201809,0
"689",161765276,201812,1.06994760431791
"690",166063879,201902,0.3603258572054
"691",166063879,201802,0.437068026450274
"692",166066346,201903,0.8146288404688
"693",166066837,201812,0.158487818054732
"694",166095039,201901,0.652321059673226
"695",166101149,201906,2.55328651148758
"696",200001916,201812,0.0979819338229908
"697",200062075,201806,0.905767767634562
"698",200070040,201812,-0.0283424209841862
"699",200125143,201812,2.57777909785751
"700",200146547,201806,0.591592035296477
"701",200164382,201812,-9.34753745451366
"702",200177581,201806,0.0263717124009769
"703",200203845,201812,7.20979840774019
"704",200246423,201812,0.176429888647589
"705",200310400,201806,1.01184254459474
"706",200318338,201812,-1.60682842144422
"707",200330858,201812,0.136067683022344
"708",200428240,201812,-4.57117901840197
"709",200436490,201809,0.263536125976105
"710",200446324,201812,27.4644209333734
"711",200458814,201812,0.212224562226997
"712",200468802,201812,0
"713",200470082,201812,0.251042535446205
"714",200503404,201812,-2.30835265776083
"715",200530683,201812,1.1213241453254
"716",200553370,201812,3.28255793681895
"717",200573561,201812,-0.388640736300917
"718",200688727,201812,77.981558601187
"719",200696964,201806,6.47823456639069
"720",200701353,201806,5.03722956915095
"721",200726638,201806,0
"722",200951085,201809,0.00599091715089393
"723",200956663,201812,NA
"724",201044089,201806,0.995799919595438
"725",201110283,201806,-4.93944661060741
"726",201150352,201712,-16.1901647875702
"727",201150352,201812,-7.59591376684665
"728",201249814,201812,0.653983291667416
"729",201309418,201809,0.116372926296004
"730",201309418,201609,0.0073979327869944
"731",201324945,201712,0.453686495240046
"732",201413891,201812,0.681856173994685
"733",201484525,201903,0.138486201359445
"734",201545635,201812,3.8282707353064
"735",201583332,201812,0.395439038477035
"736",201592192,201812,NA
"737",201594213,201806,-24.4571600872106
"738",201683627,201806,NA
"739",201688621,201806,0.08997534823321
"740",201700622,201812,NA
"741",201788094,201812,0.00384902659473904
"742",201793571,201812,0.15584
"743",201794339,201812,3.72382730967813
"744",201848987,201812,0.033770406066719
"745",201880465,201906,4.59446905377138
"746",201891448,201812,NA
"747",201935580,201806,0.0420364516370618
"748",201952464,201906,0.395426690143046
"749",201989307,201906,-0.144467228015066
"750",202007127,201812,NA
"751",202010603,201812,NA
"752",202053859,201812,0.00969065704423589
"753",202074645,201809,-3.60989789834861
"754",202188815,201903,0.557841124037366
"755",202207776,201812,-0.0583877896761771
"756",202231228,201806,0.873408355512363
"757",202232456,201812,-2.38247456177854
"758",202328346,201806,NA
"759",202445113,201412,-44.3529314353046
"760",202445113,201812,-27.5517895340016
"761",202504202,201812,0.290139616055846
"762",202526058,201806,0.73655086450297
"763",202711297,201812,-5.47762537732352
"764",202773085,201812,1.88993700443952
"765",202810099,201811,0.148630898095706
"766",202869184,201809,-9.19890532879624
"767",203022563,201812,0.105493231575515
"768",203035695,201812,0.422442364661708
"769",203048639,201809,-4.97745150808365
"770",203079151,201806,-54.7373872541771
"771",203167493,201812,0.716055396635662
"772",203178404,201806,0
"773",203195763,201806,1.00609164119477
"774",203395474,201812,10.4490564444781
"775",203407734,201806,0.247048462827261
"776",203415545,201806,0.0125598703613095
"777",203494053,201806,-7.16549641139014
"778",203494053,201706,1.84922786986312
"779",203496884,201812,-6.89858338699292
"780",203521473,201806,2.03728431189116
"781",203558447,201812,14.2511437297834
"782",203771819,201812,0.484404177393865
