"","ein","tax_pd","donation_ratio"
"677",161559032,201806,0.709597735458269
"678",161561999,201812,0
"679",161568466,201812,0.997748166511724
"680",161572206,201812,0.998917222356881
"681",161585356,201812,0.975465122627778
"682",161605654,201812,0
"683",161607165,201903,0.0462974142513902
"684",161617489,201812,0
"685",161637410,201812,0
"686",161660243,201903,0.54107106217085
"687",161671788,201906,0.779037420130683
"688",161744136,201809,1
"689",161765276,201812,0.512634686912842
"690",166063879,201902,0.725011777298052
"691",166063879,201802,0.844730797109572
"692",166066346,201903,0.866330218605995
"693",166066837,201812,0.673272758595151
"694",166095039,201901,0.950803600186757
"695",166101149,201906,0.0137479466981601
"696",200001916,201812,0
"697",200062075,201806,0.778247796488397
"698",200070040,201812,0.540722489037377
"699",200125143,201812,1
"700",200146547,201806,1.0823340831476
"701",200164382,201812,0
"702",200177581,201806,0.653076517443313
"703",200203845,201812,0.0531399384454194
"704",200246423,201812,0.789049632295087
"705",200310400,201806,0.933559559725797
"706",200318338,201812,1
"707",200330858,201812,0.314038665178569
"708",200428240,201812,0.414609729391522
"709",200436490,201809,0.873776257505403
"710",200446324,201812,0.0718335655197755
"711",200458814,201812,0.938536243090258
"712",200468802,201812,0
"713",200470082,201812,0
"714",200503404,201812,0.0159169522370911
"715",200530683,201812,0.963578595574088
"716",200553370,201812,0.972971969203609
"717",200573561,201812,0
"718",200688727,201812,0.185712660567989
"719",200696964,201806,0.254425081223663
"720",200701353,201806,0
"721",200726638,201806,0.999898358489607
"722",200951085,201809,1
"723",200956663,201812,0.644466809811879
"724",201044089,201806,0
"725",201110283,201806,0.614080960681774
"726",201150352,201712,0.0224673661506662
"727",201150352,201812,0
"728",201249814,201812,0.504217553633568
"729",201309418,201809,1
"730",201309418,201609,1
"731",201324945,201712,0.171777911184301
"732",201413891,201812,0.972185024751852
"733",201484525,201903,0.605396036901578
"734",201545635,201812,0.99162794990036
"735",201583332,201812,0.151700259504843
"736",201592192,201812,0
"737",201594213,201806,0
"738",201683627,201806,NA
"739",201688621,201806,0.0290558937914968
"740",201700622,201812,0
"741",201788094,201812,0.994054975630471
"742",201793571,201812,0
"743",201794339,201812,0.972509679018938
"744",201848987,201812,0.539846624012809
"745",201880465,201906,0
"746",201891448,201812,0.935595042643149
"747",201935580,201806,0.201044868465905
"748",201952464,201906,0
"749",201989307,201906,0.499540081865428
"750",202007127,201812,0
"751",202010603,201812,0.438459421742634
"752",202053859,201812,0.278567338671772
"753",202074645,201809,0.441222100604388
"754",202188815,201903,0
"755",202207776,201812,0
"756",202231228,201806,0.99946700367353
"757",202232456,201812,0.309878372761282
"758",202328346,201806,NA
"759",202445113,201412,0.966282623007528
"760",202445113,201812,0.868521052126727
"761",202504202,201812,0.648948211425521
"762",202526058,201806,0.8348590063097
"763",202711297,201812,0
"764",202773085,201812,0.547191868377853
"765",202810099,201811,0.965792282974463
"766",202869184,201809,0.454345185398695
"767",203022563,201812,0.999762093576527
"768",203035695,201812,0.168891342494923
"769",203048639,201809,0.617220533716309
"770",203079151,201806,0.19135675895789
"771",203167493,201812,0.122086923941551
"772",203178404,201806,0.686515290094246
"773",203195763,201806,0.68943271017352
"774",203395474,201812,0.117526137448507
"775",203407734,201806,0.512836339364535
"776",203415545,201806,1
"777",203494053,201806,0.655864681272842
"778",203494053,201706,0.543982446846481
"779",203496884,201812,0.0279875856339901
"780",203521473,201806,0.796397104852202
"781",203558447,201812,0.974793033438319
"782",203771819,201812,0.761529532479984
"783",203773809,201906,0.594307481077499
"784",203852230,201812,0.872480609692454
"785",203853610,201812,0.984221997236093
"786",203866727,201806,NA
"787",203916750,201812,0.81608046948431
"788",204122028,201806,0.786749665703976
"789",204130979,201812,1
"790",204181020,201806,0.999916882819106
"791",204203798,201812,0
"792",204216595,201812,0.405070238738277
"793",204361698,201812,0.733530805687204
"794",204398263,201806,0
"795",204398692,201809,0.386416369964396
"796",204526894,201812,0
"797",204594987,201812,0.535637824926566
"798",204627275,201812,0.553156372955189
"799",204741922,201812,0.473893215463411
"800",204929600,201806,0.462761585705691
"801",205276894,201812,0.999178365319565
"802",205289427,201812,0
"803",205311377,201812,0.744748228169513
"804",205325361,201906,1.01569763088056
"805",205398661,201612,1
"806",205398661,201812,1
"807",205398661,201712,1
"808",205536173,201812,0.999921558915979
"809",205644098,201812,0
"810",205644098,201712,0
"811",205644098,201612,0
"812",205644200,201809,0
"813",205785251,201806,0
"814",205785251,201706,0
"815",205785251,201906,0
"816",205806276,201806,0.214584270488393
"817",205884308,201809,0.243666871291181
"818",205911780,201906,0.998003992015968
"819",205917733,201809,0
"820",205972633,201812,0
"821",208090454,201812,0.938803433455162
"822",208142194,201806,1.05811576274497
"823",208296546,201812,0.635952650050562
"824",208309980,201812,1.02752561448214
"825",208309980,201712,0.99256333587505
"826",208433042,201812,0
"827",208599973,201812,0
"828",208640691,201806,0.0394071829313542
"829",208657587,201812,0.669382649266347
"830",208662960,201812,0
"831",208742203,201812,1.06176818783701
"832",208846196,201812,1
"833",208951029,201806,0
"834",208991826,201812,0.100421771440048
"835",221487184,201806,0.823342944678327
"836",221487580,201806,0.853114352920892
"837",221501370,201812,0.970648339661132
"838",221554540,201812,0.834656134808422
