"","ein","tax_pd","st_debt_ratio"
"476",133097905,201806,0.568030746174857
"477",133098397,201812,0.131528460619479
"478",133108035,201812,0.0167112325357097
"479",133110811,201812,-1.45058880597785
"480",133154100,201812,0.0127571553216586
"481",133160099,201806,0.140159987231263
"482",133176586,201806,0.0966452117833468
"483",133176952,201806,0.0587144182645546
"484",133183344,201806,0.926371391946249
"485",133187792,201812,0.107546164778954
"486",133202014,201812,0.0738621318945206
"487",133203701,201806,0.952915472348614
"488",133206603,201812,0
"489",133212867,201812,0.144601603416796
"490",133213525,201803,0.0268789755667075
"491",133234441,201806,0.129742387747144
"492",133248777,201812,0.102328596245092
"493",133257307,201806,0.130952824720286
"494",133281487,201806,0.0432191900799439
"495",133313856,201812,0
"496",133402057,201706,0.183973422975285
"497",133402057,201506,0.183975528120392
"498",133402057,201306,0.185733478479045
"499",133402057,201206,0.181844917345579
"500",133402057,201606,0.183973973058804
"501",133420753,201806,0.351873033827012
"502",133421324,201812,0.0025601032646695
"503",133439109,201807,0.00489039447420653
"504",133439109,201907,0.00469690077023598
"505",133463392,201806,0
"506",133505123,201812,0.0031402483008548
"507",133514340,201812,NA
"508",133516262,201806,0.176369026054685
"509",133518596,201812,0.00220523919700325
"510",133544227,201906,0.099815235710766
"511",133556135,201812,-0.00951931223177456
"512",133570544,201812,0.0209979397265759
"513",133582492,201812,0.00703056798161537
"514",133584089,201806,0.298965877366983
"515",133591350,201812,0.0227299005096563
"516",133620671,201812,-0.354655417222622
"517",133627750,201812,0.808937492037763
"518",133635059,201806,0.0357326645373914
"519",133636555,201806,0.223539091897146
"520",133652630,201806,-0.0230394490796208
"521",133687891,201806,0.690760258659183
"522",133687895,201806,0
"523",133706959,201812,0.0309970619169563
"524",133735311,201812,0.0405418234043878
"525",133773591,201812,-0.095304119582943
"526",133778489,201806,0.0230409808749338
"527",133784406,201812,0.175150061056361
"528",133846708,201812,0.00170508982161493
"529",133860487,201812,0.0181685944125893
"530",133914167,201812,0
"531",133927797,201812,-0.0835914828609387
"532",133940622,201812,0
"533",133946529,201812,0.0104564926140384
"534",133970573,201812,0
"535",133996271,201806,0.125957462152236
