"","ein","tax_pd","pred_profitmargin"
"645",161170113,201806,-0.0839457699315061
"646",161170113,201906,-0.0769506100153253
"647",161183242,201809,0.0810894835502178
"648",161190886,201806,-0.131895747890623
"649",161199332,201906,-0.109892965101173
"650",161199332,201806,0.0512041537781706
"651",161265765,201809,-1.10454917893084
"652",161271229,201812,0.00434985926925894
"653",161277244,201812,-0.172200558878842
"654",161289461,201809,-0.000213251326964669
"655",161301678,201903,0.0014223375792744
"656",161321037,201803,-0.811865395170143
"657",161328750,201809,0.0577639059061939
"658",161329890,201906,-0.00922916744134161
"659",161330593,201812,0.146459643183814
"660",161337423,201806,0.0039515436169258
"661",161337423,201906,0.000227991239257758
"662",161370403,201906,0.600901972173665
"663",161375112,201906,-0.260490425599227
"664",161375112,201806,-0.126649982048195
"665",161375637,201812,0.183126299814513
"666",161387187,201906,0.0118938815762612
"667",161399793,201812,0.380081799215577
"668",161408996,201812,-1.21107845925364
"669",161429861,201812,0.231781735004501
"670",161450203,201812,-0.0312830325006356
"671",161452557,201903,0.17492993394245
"672",161453947,201812,0.0817761914759605
"673",161481094,201805,0.146439650175486
"674",161481094,201905,0.698431491860546
"675",161481094,201705,0.0780820663125115
"676",161509425,201812,0.0636310915438676
"677",161559032,201806,0.0948412289118719
"678",161561999,201812,0.478545401220302
"679",161568466,201812,0.271480218985642
"680",161572206,201812,-0.0329804870022452
"681",161585356,201812,0.301071603116665
"682",161605654,201812,0.238681048105546
"683",161607165,201903,0.00326433352632718
"684",161617489,201812,0.0679944733875952
"685",161637410,201812,-8.91791044776119
"686",161660243,201903,0.0436905820395322
"687",161671788,201906,0.0732622199896235
"688",161744136,201809,0.0687363557457105
"689",161765276,201812,0.338548257218452
"690",166063879,201902,0.0413914747687803
"691",166063879,201802,0.0607923270637643
"692",166066346,201903,0.027444359921051
"693",166066837,201812,0.0170719651718064
"694",166095039,201901,0.019612308658685
"695",166101149,201906,0.0800889342731352
"696",200001916,201812,-1.67630753898221
"697",200062075,201806,0.102316439330523
"698",200070040,201812,0.105174357903529
"699",200125143,201812,-0.169995587562058
"700",200146547,201806,0.319933093496071
"701",200164382,201812,0.202494174711113
"702",200177581,201806,0.9445153710231
"703",200203845,201812,0.0858817366249754
"704",200246423,201812,-0.109367295769033
"705",200310400,201806,0.270111360218476
"706",200318338,201812,-0.438490013774105
