"","ein","tax_pd","quick_ratio"
"652",161271229,201812,25.113390240795
"653",161277244,201812,92.2252693437806
"654",161289461,201809,3.91282595144224
"655",161301678,201903,14.4322046267241
"656",161321037,201803,1.45981854027316
"657",161328750,201809,5.93670001849074
"658",161329890,201906,NA
"659",161330593,201812,2.51835924578234
"660",161337423,201806,1.16338224485573
"661",161337423,201906,1.14472083026795
"662",161370403,201906,121.571984435798
"663",161375112,201906,14.7493333333333
"664",161375112,201806,NA
"665",161375637,201812,0.732539087548565
"666",161387187,201906,2.36456321312651
"667",161399793,201812,103.329267785039
"668",161408996,201812,188.001863585539
"669",161429861,201812,7.98778395799761
"670",161450203,201812,0.898366366048511
"671",161452557,201903,5.83721431651574
"672",161453947,201812,1.97567050636468
"673",161481094,201805,1.40357686453577
"674",161481094,201905,18.4233493907623
"675",161481094,201705,0.35784898992311
"676",161509425,201812,0
"677",161559032,201806,19.3335425164732
"678",161561999,201812,14.9069615426517
"679",161568466,201812,NA
"680",161572206,201812,7.4950319724545
"681",161585356,201812,1.33659439621374
"682",161605654,201812,19.5132623426912
"683",161607165,201903,42.3393275859029
"684",161617489,201812,0.0297408272432758
"685",161637410,201812,NA
"686",161660243,201903,0.793413173652695
"687",161671788,201906,8.04903885903266
"688",161744136,201809,NA
"689",161765276,201812,4.48491494229148
"690",166063879,201902,2.59196742182774
"691",166063879,201802,2.72054216456994
"692",166066346,201903,2.06815582345322
"693",166066837,201812,5.67926797754129
"694",166095039,201901,1.12968049664646
"695",166101149,201906,13.5047395098848
"696",200001916,201812,9.3642131470104
"697",200062075,201806,3.95313019966722
"698",200070040,201812,9.59043007690117
"699",200125143,201812,6.39355855491797
"700",200146547,201806,1.77644827664761
"701",200164382,201812,16.3284457478006
"702",200177581,201806,0.105503881927896
"703",200203845,201812,0.81598623853211
"704",200246423,201812,1.54360252575607
"705",200310400,201806,6.02226870474658
"706",200318338,201812,2.38366617957461
"707",200330858,201812,10.4708851282979
"708",200428240,201812,0.61309063422866
"709",200436490,201809,10.0027561876413
"710",200446324,201812,3.80375390730833
"711",200458814,201812,15.1000493977277
"712",200468802,201812,NA
"713",200470082,201812,311.567551505547
"714",200503404,201812,0.247354868035773
"715",200530683,201812,4.19303561992473
"716",200553370,201812,172.777885327108
"717",200573561,201812,0.101016412563526
"718",200688727,201812,1.94192027884845
"719",200696964,201806,11.6271281762871
"720",200701353,201806,5.02116855266175
"721",200726638,201806,NA
"722",200951085,201809,167.35227575193
"723",200956663,201812,1.3872424651372
"724",201044089,201806,22.0043613707165
"725",201110283,201806,NA
"726",201150352,201712,NA
"727",201150352,201812,NA
"728",201249814,201812,0.997157499258478
"729",201309418,201809,2.15023586359023
"730",201309418,201609,124.197519480519
"731",201324945,201712,24.8237230612591
"732",201413891,201812,22.4329742595637
"733",201484525,201903,0.121668694478241
"734",201545635,201812,NA
"735",201583332,201812,0.293028853973521
"736",201592192,201812,36.8840682196339
"737",201594213,201806,48.0995919160513
"738",201683627,201806,NA
"739",201688621,201806,NA
"740",201700622,201812,1624.48472505092
"741",201788094,201812,NA
"742",201793571,201812,4.83621021560575
"743",201794339,201812,6.53183217236352
"744",201848987,201812,28.4723451327434
"745",201880465,201906,NA
"746",201891448,201812,8.03011519970973
"747",201935580,201806,3.14345683348901
"748",201952464,201906,3.43826793499802
"749",201989307,201906,6.4235807860262
"750",202007127,201812,0.348440958208567
"751",202010603,201812,23.85415659739
"752",202053859,201812,20.7235827664399
"753",202074645,201809,0.463581488933602
"754",202188815,201903,104.433382497542
"755",202207776,201812,0.213862004370902
"756",202231228,201806,8.95496673492381
"757",202232456,201812,4.78755350227597
"758",202328346,201806,NA
"759",202445113,201412,4.07679380770307
"760",202445113,201812,0.963295954396233
"761",202504202,201812,1.54064147627417
"762",202526058,201806,2.31665251948453
"763",202711297,201812,NA
"764",202773085,201812,2.35340002440722
"765",202810099,201811,13.7093926016136
"766",202869184,201809,1.56438517085306
"767",203022563,201812,10.2126831501831
"768",203035695,201812,18.5537962847525
"769",203048639,201809,4.89720825034602
"770",203079151,201806,1.1632483275005
"771",203167493,201812,4.24630772106936
"772",203178404,201806,NA
"773",203195763,201806,24.4941853847956
"774",203395474,201812,31.1723236887232
"775",203407734,201806,55.4230215827338
"776",203415545,201806,80.6186561829878
"777",203494053,201806,NA
"778",203494053,201706,NA
"779",203496884,201812,0.70868530358893
"780",203521473,201806,4.98153081021156
